,Unnamed: 0,Unnamed: 0.1,adv_loss,adv_prec1,epoch,nat_loss,nat_prec1,num_training_images,seed,source_eps,target_ds,time,train_loss,train_prec1,unfrozen_blocks
2441,4693,5.0,-1.0,-1.0,100,0.3579040409088135,89.02999877929688,12800,20100000,0,cifar10,5279.0316808223715,0.1098529340326786,96.3203125,1
2442,4694,0.0,-1.0,-1.0,1,1.27549867477417,83.72999572753906,12800,20100000,3,cifar10,83.7696464061737,2.760356159806252,76.09375,1
2443,4695,1.0,-1.0,-1.0,21,0.4417567162036896,89.97000122070312,12800,20100000,3,cifar10,1136.8955595493314,0.07836903188377617,97.1640625,1
2444,4696,2.0,-1.0,-1.0,41,0.2820072319030762,92.33999633789062,12800,20100000,3,cifar10,2194.478665113449,0.01094383604824543,99.8046875,1
2445,4697,3.0,-1.0,-1.0,61,0.2783789101600647,92.47000122070312,12800,20100000,3,cifar10,3251.702420949936,0.006784008350223303,99.875,1
2446,4698,4.0,-1.0,-1.0,81,0.2709860271930695,92.47000122070312,12800,20100000,3,cifar10,4307.161519765854,0.005079677104949951,99.9453125,1
2447,4699,5.0,-1.0,-1.0,100,0.2705643898963928,92.54999542236328,12800,20100000,3,cifar10,5287.374603033066,0.00547101978212595,99.9375,1
2448,4700,0.0,-1.0,-1.0,1,0.7569877170562744,86.95999908447266,25600,20000000,3,cifar10,56.68989372253418,1.7686595204472542,80.46875,1
2449,4701,1.0,-1.0,-1.0,21,0.3474692937850952,89.86000061035156,25600,20000000,3,cifar10,2112.992548942566,0.10650737762451172,96.2109375,1
2450,4702,2.0,-1.0,-1.0,41,0.1976994378089905,93.95999908447266,25600,20000000,3,cifar10,4182.443547248839,0.015030264696106316,99.72265625,1
2451,4703,3.0,-1.0,-1.0,61,0.19470356798172,93.97999572753906,25600,20000000,3,cifar10,6254.334032535553,0.007864448539912701,99.9296875,1
2452,4704,4.0,-1.0,-1.0,81,0.19013940839767451,94.08999633789062,25600,20000000,3,cifar10,8324.83224272728,0.00582282735966146,99.953125,1
2453,4705,5.0,-1.0,-1.0,100,0.18821364607810973,94.18999481201172,25600,20000000,3,cifar10,10294.839876890182,0.0050547636486589905,99.984375,1
2454,4706,0.0,-1.0,-1.0,1,1.158923578262329,74.94999694824219,25600,20000000,0,cifar10,136.90484881401062,5.797210218012332,63.67578125,1
2455,4707,1.0,-1.0,-1.0,21,0.348274861240387,88.41999816894531,25600,20000000,0,cifar10,2220.073623418808,0.3124503929913044,88.97265625,1
2456,4708,2.0,-1.0,-1.0,41,0.2635254421472549,91.3499984741211,25600,20000000,0,cifar10,4303.1509087085715,0.11323414774611593,96.27734375,1
2457,4709,3.0,-1.0,-1.0,61,0.29369599595069884,90.93999481201172,25600,20000000,0,cifar10,6381.3244626522055,0.06924167885445058,97.765625,1
