,epoch,nat_prec1,adv_prec1,nat_loss,adv_loss,train_prec1,train_loss,time,source_eps,target_ds,num_training_images,unfrozen_blocks,seed
63,64,72.48999786376953,-1.0,1.0778913376808166,-1.0,89.22999572753906,0.34637297845840453,3947.7015986442566,-1,cifar100,50000,-1,-1
64,65,72.33000183105469,-1.0,1.0907132558822632,-1.0,89.72999572753906,0.3330956276893616,4001.8097665309906,-1,cifar100,50000,-1,-1
65,66,71.47999572753906,-1.0,1.1172620292663573,-1.0,89.91999816894531,0.3235080787658691,4055.75105881691,-1,cifar100,50000,-1,-1
66,67,72.47999572753906,-1.0,1.1022980628967285,-1.0,90.12999725341797,0.31328104791641237,4110.059916734695,-1,cifar100,50000,-1,-1
67,68,72.02999877929688,-1.0,1.1056542989730835,-1.0,90.73199462890625,0.2978327086257935,4164.237630367279,-1,cifar100,50000,-1,-1
68,69,71.52999877929688,-1.0,1.1591474046707153,-1.0,90.55599975585938,0.30039453879356387,4218.410749912262,-1,cifar100,50000,-1,-1
69,70,71.8699951171875,-1.0,1.1048351687431335,-1.0,90.96399688720703,0.290875852432251,4272.474579811096,-1,cifar100,50000,-1,-1
70,71,71.6500015258789,-1.0,1.137377730178833,-1.0,91.37999725341797,0.27949800596237184,4326.579784393311,-1,cifar100,50000,-1,-1
71,72,72.36000061035156,-1.0,1.1188320110321044,-1.0,91.38599395751953,0.27743867397308347,4380.50181221962,-1,cifar100,50000,-1,-1
72,73,71.79999542236328,-1.0,1.1387198308944702,-1.0,91.58799743652344,0.2737059646606445,4434.471070289612,-1,cifar100,50000,-1,-1
73,74,70.81999969482422,-1.0,1.209442297744751,-1.0,91.86000061035156,0.26792546770095826,4488.477063179016,-1,cifar100,50000,-1,-1
74,75,70.18000030517578,-1.0,1.2006471138000487,-1.0,92.00799560546875,0.260352130689621,4542.433073282242,-1,cifar100,50000,-1,-1
75,76,70.5999984741211,-1.0,1.196153800010681,-1.0,91.77799987792969,0.26266115010261537,4596.398173570633,-1,cifar100,50000,-1,-1
76,77,71.5,-1.0,1.1748915952682495,-1.0,91.8479995727539,0.2659261873626709,4650.418308734894,-1,cifar100,50000,-1,-1
77,78,71.23999786376953,-1.0,1.157382010269165,-1.0,92.20199584960938,0.2516914996623993,4704.32692527771,-1,cifar100,50000,-1,-1
78,79,71.55999755859375,-1.0,1.15210142993927,-1.0,92.43799591064453,0.24913405041694642,4758.329146623611,-1,cifar100,50000,-1,-1
79,80,70.93000030517578,-1.0,1.2180233619689942,-1.0,92.29199981689453,0.25001371060371397,4812.25088262558,-1,cifar100,50000,-1,-1
80,81,71.0,-1.0,1.2025816367149353,-1.0,92.44400024414062,0.24929387850761414,4866.319928646088,-1,cifar100,50000,-1,-1
81,82,71.27999877929688,-1.0,1.1892537908554077,-1.0,92.56399536132812,0.24232902404785156,4920.565230846405,-1,cifar100,50000,-1,-1
82,83,69.81999969482422,-1.0,1.2747012285232544,-1.0,92.44200134277344,0.24810457326889038,4974.600115537643,-1,cifar100,50000,-1,-1
83,84,69.80999755859375,-1.0,1.241116275882721,-1.0,92.64599609375,0.24061970797538756,5028.503124952316,-1,cifar100,50000,-1,-1
84,85,70.4000015258789,-1.0,1.2406905330657958,-1.0,92.57799530029297,0.2383855096912384,5082.4965670108795,-1,cifar100,50000,-1,-1
85,86,71.61000061035156,-1.0,1.210763911151886,-1.0,93.33599853515625,0.22324501519203185,5136.456177949905,-1,cifar100,50000,-1,-1
86,87,70.63999938964844,-1.0,1.241261640548706,-1.0,92.90799713134766,0.2326094012069702,5190.588524103165,-1,cifar100,50000,-1,-1
87,88,70.40999603271484,-1.0,1.2207326978683473,-1.0,92.7179946899414,0.23799767892837526,5244.6548664569855,-1,cifar100,50000,-1,-1
88,89,70.12999725341797,-1.0,1.2852067644119263,-1.0,92.59600067138672,0.2416479530620575,5298.695445537567,-1,cifar100,50000,-1,-1
89,90,70.5,-1.0,1.2476074615478516,-1.0,93.0260009765625,0.23034505366325378,5352.622984647751,-1,cifar100,50000,-1,-1
90,91,69.93000030517578,-1.0,1.2632977221965789,-1.0,93.1199951171875,0.22815239832401277,5406.5744659900665,-1,cifar100,50000,-1,-1
91,92,70.58000183105469,-1.0,1.2448570862293244,-1.0,93.60399627685547,0.2137663829135895,5460.804249048233,-1,cifar100,50000,-1,-1
92,93,70.97000122070312,-1.0,1.2567351938247682,-1.0,93.45199584960938,0.21432186124324798,5514.72899055481,-1,cifar100,50000,-1,-1
93,94,69.94999694824219,-1.0,1.2942224327087402,-1.0,93.60799407958984,0.20990882462978364,5568.788156747818,-1,cifar100,50000,-1,-1
94,95,69.15999603271484,-1.0,1.337194352722168,-1.0,93.00999450683594,0.22769741762161255,5622.894605875015,-1,cifar100,50000,-1,-1
95,96,68.70999908447266,-1.0,1.3352870441436768,-1.0,93.5,0.21502352231979371,5677.00045800209,-1,cifar100,50000,-1,-1
96,97,70.06999969482422,-1.0,1.2585948841094972,-1.0,93.14999389648438,0.22757866896629333,5730.95826125145,-1,cifar100,50000,-1,-1
97,98,70.04999542236328,-1.0,1.2571989972114563,-1.0,93.84199523925781,0.2070720369911194,5784.930125951767,-1,cifar100,50000,-1,-1
98,99,69.68999481201172,-1.0,1.2640388761520385,-1.0,93.7959976196289,0.20722767184257507,5838.92521238327,-1,cifar100,50000,-1,-1
99,100,70.38999938964844,-1.0,1.2496428409576417,-1.0,93.67599487304688,0.20772654874801635,5892.897851705551,-1,cifar100,50000,-1,-1
100,101,75.72000122070312,-1.0,1.0212827912330626,-1.0,97.45199584960938,0.1005333347594738,5946.858198404312,-1,cifar100,50000,-1,-1
101,102,75.97000122070312,-1.0,1.0112360914230347,-1.0,98.62199401855469,0.06472613187670707,6001.221261978149,-1,cifar100,50000,-1,-1
102,103,76.12999725341797,-1.0,1.0122954258918762,-1.0,98.92799377441406,0.05451966934323311,6055.742054700851,-1,cifar100,50000,-1,-1
103,104,76.25,-1.0,1.0032486776351928,-1.0,99.16199493408203,0.0473503698682785,6110.216184854507,-1,cifar100,50000,-1,-1
104,105,76.08999633789062,-1.0,1.0058621826171874,-1.0,99.36799621582031,0.04105669063448906,6164.623723983765,-1,cifar100,50000,-1,-1
105,106,76.27999877929688,-1.0,1.0156771844863892,-1.0,99.35399627685547,0.03797889269351959,6218.729181528091,-1,cifar100,50000,-1,-1
106,107,76.19999694824219,-1.0,1.012765528869629,-1.0,99.38399505615234,0.03631828379392624,6273.047731637955,-1,cifar100,50000,-1,-1
107,108,76.54999542236328,-1.0,1.009864232635498,-1.0,99.52799987792969,0.033076455804109575,6327.006846189499,-1,cifar100,50000,-1,-1
108,109,76.3499984741211,-1.0,1.0121260705947877,-1.0,99.51200103759766,0.032946642743349075,6381.467026233673,-1,cifar100,50000,-1,-1
109,110,76.29000091552734,-1.0,1.013275274848938,-1.0,99.5459976196289,0.030926403819322587,6435.461704015732,-1,cifar100,50000,-1,-1
