,epoch,nat_prec1,adv_prec1,nat_loss,adv_loss,train_prec1,train_loss,time,target_ds,num_training_images,unfrozen_blocks,seed
6,30,27.369998931884766,-1.0,25.18080096435547,-1.0,33.0,16.732131958007812,418.4563808441162,cifar10,100,0,10500000
0,1,12.829999923706055,-1.0,38.15212252197266,-1.0,10.0,37.293113708496094,57.99538779258728,cifar10,100,0,10900000
1,6,12.170000076293945,-1.0,30.550673052978517,-1.0,7.0,27.415483474731445,125.78211236000061,cifar10,100,0,10900000
2,11,23.439998626708984,-1.0,29.11783044128418,-1.0,34.0,15.444543838500977,188.61041903495789,cifar10,100,0,10900000
3,16,24.989999771118164,-1.0,22.327728622436524,-1.0,29.0,11.976959228515625,254.25524640083313,cifar10,100,0,10900000
4,21,24.439998626708984,-1.0,18.422401470947264,-1.0,31.0,11.010400772094727,315.4444124698639,cifar10,100,0,10900000
5,26,24.10999870300293,-1.0,17.607919927978514,-1.0,37.0,10.725589752197266,364.6540641784668,cifar10,100,0,10900000
6,30,24.139999389648438,-1.0,17.27493265991211,-1.0,36.0,11.106649398803711,398.21123361587524,cifar10,100,0,10900000
0,1,10.079999923706055,-1.0,40.75867037963867,-1.0,13.0,31.32904624938965,57.9457643032074,cifar10,100,0,10800000
1,6,14.049999237060547,-1.0,34.8415020324707,-1.0,11.0,27.491487503051758,124.7521378993988,cifar10,100,0,10800000
2,11,18.53999900817871,-1.0,22.85292745666504,-1.0,24.0,13.055375099182129,188.61982107162476,cifar10,100,0,10800000
3,16,19.479999542236328,-1.0,19.735902813720703,-1.0,31.0,11.111715316772461,254.7693989276886,cifar10,100,0,10800000
4,21,20.719999313354492,-1.0,17.58607738494873,-1.0,32.0,11.476078033447266,320.92226338386536,cifar10,100,0,10800000
5,26,21.40999984741211,-1.0,16.915039054870604,-1.0,32.0,10.279401779174805,384.1737403869629,cifar10,100,0,10800000
6,30,21.85999870300293,-1.0,16.644664820861816,-1.0,32.0,11.40321159362793,417.73730874061584,cifar10,100,0,10800000
0,1,13.210000038146973,-1.0,34.40347825927734,-1.0,10.200000762939453,24.98977819824219,58.408273696899414,cifar10,500,0,10000000
1,6,48.52000045776367,-1.0,8.748891763305664,-1.0,46.20000076293945,8.068540725708008,132.3903386592865,cifar10,500,0,10000000
2,11,59.07999801635742,-1.0,6.6122355529785155,-1.0,62.60000228881836,3.751530843734741,204.20544528961182,cifar10,500,0,10000000
3,16,58.73999786376953,-1.0,6.777764853668213,-1.0,70.80000305175781,3.2273509101867677,277.1815896034241,cifar10,500,0,10000000
